3000589170	W Day 39 end of yhe day speech	30.0	16	https://www.twitch.tv/hmblzayy/clip/CarelessRelievedPeafowlFailFish-V36e3rqOLosK5N6t
3113266342	WWW CJGJ 	37.0	16	https://www.twitch.tv/hmblzayy/clip/RockyRelievedPandaPRChase-kAOTlTiqdKL6gti3
3938815043	pray for zayy pt 2	59.0	16	https://www.twitch.tv/hmblzayy/clip/ObedientCharmingMallardBigBrother-jAffmn1AHiJ6V6Jt
2874887297	Zay In His Bagg	30.0	16	https://www.twitch.tv/hmblzayy/clip/WittyArtisticBaguettePicoMause-S85nm85i4wnq-Ebw
3202841801	who�s ys momma-W SUPPORT	29.0	15	https://www.twitch.tv/hmblzayy/clip/BrainyTacitSpindleCharlietheUnicorn-tS3g6Ss-AaVu4F1X
2604397892	41 miles left to Indianapolis	29.0	14	https://www.twitch.tv/hmblzayy/clip/UninterestedSpeedyPorcupineBCWarrior-y2wLPjKGwK918Nhl
2027408548	W Luke	30.0	14	https://www.twitch.tv/hmblzayy/clip/ProudCredulousDotterelSoonerLater-8iNUoSMjh0H14C9n
2422907543	day39 completed 	54.0	13	https://www.twitch.tv/hmblzayy/clip/SarcasticIncredulousSrirachaRitzMitz-5fBoiuxl0P90xSo9
1246556844	is it a coincidence 	30.0	13	https://www.twitch.tv/hmblzayy/clip/CourageousElatedPonyDancingBanana-hP36G-uVOO0MnWZW
921812410	it was funny	59.0	12	https://www.twitch.tv/hmblzayy/clip/TenuousSteamyCarrotDxCat-sXMFiMxBFTLFJKt0
2001434165	Colts Auntie  -shugg	30.0	11	https://www.twitch.tv/hmblzayy/clip/HandsomeAssiduousMonitorBudStar-5qrm4yMgf6jyVmlU
3608673546	Indiana pulling up for the home stretch. "who's ya mama"	14.0	11	https://www.twitch.tv/hmblzayy/clip/FrailBoldChowderSuperVinlin-X0b4nDI3cGk7gkme
513995274	W Auntie!!!	59.0	11	https://www.twitch.tv/hmblzayy/clip/ArtsyAltruisticRamenPanicVis-hYa2B29ppmAeXPhG
3230414	My own shoutout 	17.0	11	https://www.twitch.tv/hmblzayy/clip/AggressiveInterestingCobraAllenHuhu-CkH-IOck99YgJTPb
3979072415	rns	29.0	11	https://www.twitch.tv/hmblzayy/clip/ObservantOriginalNoodleStrawBeary-772V3PXR9gQK3H0M
2611913994	SAY CHEESE 	8.0	11	https://www.twitch.tv/hmblzayy/clip/ArborealSilkyDonutCopyThis-gLtvk9j_YB1COBF7
4190439233	Twitch Crackhead!!!	40.0	11	https://www.twitch.tv/hmblzayy/clip/EncouragingSlipperyMooseFUNgineer-bzONiLsXB1HeekUA
3742044052	this guy	30.0	11	https://www.twitch.tv/hmblzayy/clip/CuriousSilkyCurlewKappaPride-erN4ZSvIemrZFq3V
56870704	 hat thief	30.0	11	https://www.twitch.tv/hmblzayy/clip/AnimatedBelovedKoupreyChefFrank-LVYbmnI1ECiW1vPI
3754447876	W Supporters	30.0	11	https://www.twitch.tv/hmblzayy/clip/FlaccidCrazyMoonMikeHogu-beRCmAyPgtEeGF0p
3664286968	Naptown Potholes Undefeated!	18.0	11	https://www.twitch.tv/hmblzayy/clip/HelplessSmellyMarjoramTwitchRPG-D3B2veEOYYk0XYCJ
99947815	W Walmart	30.0	10	https://www.twitch.tv/hmblzayy/clip/CleanIntelligentYakinikuFreakinStinkin-gxZNOm0r-D4gC993
2060158738	W Support	30.0	10	https://www.twitch.tv/hmblzayy/clip/EsteemedCloudyMangoBrainSlug-gPv-Ai6JOjSDT8yQ
366139190	TWITCH just dropped 50!	50.0	10	https://www.twitch.tv/hmblzayy/clip/ChillyBashfulMarjoramCmonBruh-s6FerdWaqdr_fIV1
470837538	Day 40 	30.0	10	https://www.twitch.tv/hmblzayy/clip/AnimatedObservantStrawberrySquadGoals-Ii695ki7dqel5M71
2060158738	W Support	30.0	10	https://www.twitch.tv/hmblzayy/clip/EsteemedCloudyMangoBrainSlug-gPv-Ai6JOjSDT8yQ
533825494	MOONWALK ON EM.....	20.0	10	https://www.twitch.tv/hmblzayy/clip/SpoopyFantasticTermiteWow-78t1byZbW47JUkb4
350445807	675 miles to Indianapolis	10.0	9	https://www.twitch.tv/hmblzayy/clip/PreciousTallMarrowPanicBasket-bzRgkFRjb9E2KQ7e
4281682313	W Ron 	30.0	9	https://www.twitch.tv/hmblzayy/clip/InnocentBrainyMochaThunBeast-7c8Qg6yECkGpR90A
2680511867	Gifted	18.0	9	https://www.twitch.tv/hmblzayy/clip/TrustworthySparklingGarbageCmonBruh-KSPA5DDJiph0Q2vV
4071235386	supporter clip	20.0	9	https://www.twitch.tv/hmblzayy/clip/SuaveOilyDotterelKappa-qE_A6d4jCVXI3sEx
3331053252	Who's ya mama baby!	26.0	9	https://www.twitch.tv/hmblzayy/clip/StylishScaryLobsterHeyGirl-lCg-6MxHWjqVZqA4
