filename	duration_s	width	height	size_mb
00006_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_889413510.mp4	30.02	1920	1080	27.33
00006_w_supporter_4_1166828279.mp4	41.21	1920	1080	38.16
00006_prayer_for_zayy_668594013.mp4	60.00	1920	1080	54.70
00006_OXTAILS_on_the_menu_tonight_4236897080.mp4	36.10	1920	1080	34.03
00006_More_Indiana_Love_3426593437.mp4	30.02	1920	1080	27.38
00006_Indianapolis_We_Here_25090560.mp4	45.65	1920	1080	42.86
00006_good_convo_2842338549.mp4	32.36	1920	1080	30.31
00005_Zay_and_Auntie_Naptown_God_Did_2083712663.mp4	30.00	1920	1080	27.35
00005_zay_adress_all_the_haters_2277290460.mp4	60.03	1920	1080	54.78
00005_Ye_Ye_1475250140.mp4	30.01	1920	1080	27.37
00005_Wwww_TWITCH_WIT_THE_SUBS_1236183152.mp4	30.01	1920	1080	27.21
00005_WWWW_TEETEE_2324868104.mp4	30.00	1920	1080	27.68
00005_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_2731126241.mp4	30.00	1920	1080	27.32
00005_v_3609361098.mp4	30.01	1920	1080	27.32
00005_RRRRRrr_3532421342.mp4	30.02	1920	1080	27.30
00005_philly_indiana_2646304013.mp4	50.02	1920	1080	45.60
00005_Philly_coming_out_Faith_Walk_1932214813.mp4	53.39	1920	1080	49.72
00005_New_yoo_3613740141.mp4	30.01	1920	1080	27.39
00005_Mom_and_Minister_Zay_488031253.mp4	60.02	1920	1080	54.69
00005_Day_40_The_aunties_is_outside_for_Zay_3024731875.mp4	43.75	1920	1080	39.84
00005___2366971247.mp4	30.00	1920	1080	27.39
00004_Zay_and_Aunties_2_step_1052771665.mp4	44.17	1920	1080	41.51
00004_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_2284396568.mp4	30.00	1920	1080	27.35
00004_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_1818242801.mp4	30.01	1920	1080	27.34
00004_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_176741499.mp4	30.02	1920	1080	27.36
00004_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_117514987.mp4	30.01	1920	1080	27.34
00004_W_supporter_3074005285.mp4	30.02	1920	1080	27.36
00004_W_Support_969265957.mp4	30.01	1920	1080	27.37
00004_W_Aunties_Walkn_Wit_Zay_2714638823.mp4	30.02	1920	1080	27.39
00004_Turning_up_with_Indy_Aunties_3028084314.mp4	30.00	1920	1080	27.43
00004_He_made_the_675_miles_Indianapolis_1586461132.mp4	30.00	1920	1080	27.36
00004_God_Did_Day40_3639260854.mp4	48.76	1920	1080	45.29
00004_catfish_food_review_3937446711.mp4	30.01	1920	1080	27.35
00003_Walmart_support_1488588582.mp4	36.61	1920	1080	36.32
00003_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_1004777917.mp4	30.01	1920	1080	27.49
00003_W_Support_1790938027.mp4	30.02	1920	1080	27.34
00003_W_day_40_591646174.mp4	30.01	1920	1080	27.36
00003_W_Day_40_3353611533.mp4	30.02	1920	1080	27.33
00003_W_Corey_126720463.mp4	30.01	1920	1080	27.34
00003_w_850424437.mp4	30.02	1920	1080	27.31
00003_The_youtj_stop_Zay_360959313.mp4	30.02	1920	1080	27.33
00003_SIRI.._CALL_SHUGG...LOL.._ZAY_ACTIN_OUT_2693820421.mp4	23.30	1920	1080	21.44
00003_Indy_potholes_undefeated_534195505.mp4	41.28	1920	1080	38.96
00003_DAY40_INDIANAPOLIS_3339301126.mp4	30.02	1920	1080	27.35
00003_675_miles_1648656940.mp4	30.02	1920	1080	27.33
00003_41_Miles_Today_3002479682.mp4	30.02	1920	1080	27.34
00002_wwww_auntie_1919626329.mp4	30.00	1920	1080	27.35
00002_WALKING_3000_MILES_TO_CALI_DAY_42_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_2891130654.mp4	30.00	1920	1080	27.32
00002_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_980869672.mp4	30.00	1920	1080	27.33
00002_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_924042026.mp4	30.01	1920	1080	27.38
00002_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_691434255.mp4	30.01	1920	1080	27.33
00002_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_4156026948.mp4	30.01	1920	1080	27.27
00002_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_4116749537.mp4	30.00	1920	1080	27.34
00002_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_4098947323.mp4	30.02	1920	1080	27.49
00002_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_4061071306.mp4	30.00	1920	1080	27.37
00002_WALKING_3000_MILES_TO_CALI_DAY_41_REST_DAY_INDIANAPOLIS_IN_FAITH_WALK_support_do_3929067330.mp4	30.01	1920	1080	27.33
