Content,Video title,Video publish time,Duration,Average view duration,Average percentage viewed (%),Engaged views,Stayed to watch (%),Unique viewers,Average views per viewer,New viewers,Returning viewers,Casual viewers,Regular viewers,Transaction revenue (USD),Transactions,Revenue per transaction (USD),YouTube Premium (USD),Watch Page ads (USD),Estimated DoubleClick revenue (USD),Estimated AdSense revenue (USD),YouTube ad revenue (USD),Ad impressions,Playback-based CPM (USD),CPM (USD),Estimated monetized playbacks,RPM (USD),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
W8gbSwHzxKE,Top Ten Scriptures They Don’t Teach in Church @AIBIBLEGOSPELS,"Jun 27, 2025",257,0:01:57,45.77,404,,,,,,,,,,,,,,,,,,,,,404,13.1992,4,,7063,4.71
iILlk8mc0eM,Part 80 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 24, 2025",56,0:00:45,81.31,403,31.72,,,,,,,,,,,,,,,,,,,,1263,5.3987,1,,976,3.07
a4c8bJgxEuY,Part 87: The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Jun 3, 2025",16,0:00:27,169.62,403,38.32,,,,,,,,,,,,,,,,,,,,1223,3.2929,3,,1229,2.44
8aaTGPQmSXo,Part 81 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 24, 2025",66,0:00:55,83.82,395,66.78,,,,,,,,,,,,,,,,,,,,754,6.1818,2,,755,4.5
5Qo3io6MwEs,Why Did Rome Fear the King James Bible? @AIBIBLEGOSPELS,"Sep 3, 2025",67,0:00:48,72.33,384,54.82,,,,,,,,,,,,,,,,,,,,764,5.2959,4,,385,2.6
Mgp2CgZtG64,Part 72 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 16, 2025",55,0:00:44,80.93,383,65.23,,,,,,,,,,,,,,,,,,,,683,4.8198,0,,1001,6.49
_zhWsE36dss,Part 23 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 30, 2025",21,0:00:26,125.16,379,46.82,,,,,,,,,,,,,,,,,,,,986,2.9537,3,,730,1.92
Tf390YnbgRg,Part 83 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 31, 2025",55,0:00:46,84.66,379,67.02,,,,,,,,,,,,,,,,,,,,727,4.9713,1,,1200,2.5
gVtjIGub94w,Part 74 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 18, 2025",51,0:00:37,74.31,376,60.29,,,,,,,,,,,,,,,,,,,,723,4.0708,1,,651,5.38
MAkhk-cIuvE,Part 75 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 30, 2025",51,0:00:44,87.04,370,65.08,,,,,,,,,,,,,,,,,,,,727,4.6454,3,,624,1.76
hJDgZIu3gas,Part 85 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel  @AIBIBLEGOSPELS,"Jun 1, 2025",53,0:00:32,61.08,370,57.48,,,,,,,,,,,,,,,,,,,,757,3.4601,3,,1035,1.93
5IHuhAx9184,Part 82 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel  @AIBIBLEGOSPELS,"May 24, 2025",62,0:00:47,75.95,367,65.05,,,,,,,,,,,,,,,,,,,,681,4.8794,5,,469,2.13
wjAAS108GDw,Part 79 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 24, 2025",58,0:00:35,62.04,358,45.82,,,,,,,,,,,,,,,,,,,,825,3.7412,1,,706,1.98
t898Bmt9Pzc,Part 53 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 28, 2025",64,0:01:03,99.93,353,66.15,,,,,,,,,,,,,,,,,,,,690,6.3383,2,,993,2.42
Tg9tXQBBEVU,Part 76 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 22, 2025",55,0:00:43,78.6,352,62.82,,,,,,,,,,,,,,,,,,,,690,4.3101,2,,596,3.86
MFTYh87UX00,The Most High Chosen People @AIBIBLEGOSPELS,"Jun 29, 2025",292,0:01:34,32.28,352,,,,,,,,,,,,,,,,,,,,,352,9.2156,6,,6069,4.76
thvQjWzAhJI,Part 86 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Jun 2, 2025",54,0:00:57,106.54,349,60.53,,,,,,,,,,,,,,,,,,,,691,5.6698,2,,966,1.86
0hjJSaaUgpU,Part 73 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 17, 2025",62,0:00:43,70.55,348,61.21,,,,,,,,,,,,,,,,,,,,668,4.312,0,,728,5.63
hb56WpRKlSk,Part 77 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 23, 2025",56,0:00:51,92.51,347,53.5,,,,,,,,,,,,,,,,,,,,717,5.1093,3,,623,2.09
Jb9l1tT95ok,The Most High Chosen People Official Movie @AIBIBLEGOSPELS,"Jul 20, 2025",1117,0:03:45,20.16,347,,,,,,,,,,,,,,,,,,,,,347,21.7002,2,,7704,2.62
BoMLiQDwwo8,Why Jesus’ Teaching Style Left Everyone Astonished @AIBIBLEGOSPELS,"Jul 29, 2025",13,0:00:20,160.51,339,48.35,,,,,,,,,,,,,,,,,,,,982,2.0909,2,,298,2.01
RKJvtfG_JAI,Who Was Jesus Really  Taking to? @AIBIBLEGOSPELS,"Jul 9, 2025",62,0:00:49,79.16,338,49.12,,,,,,,,,,,,,,,,,,,,815,4.7495,1,,326,4.29
hhUc8eF3fzQ,Part 78 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 24, 2025",63,0:01:04,102.29,337,49.71,,,,,,,,,,,,,,,,,,,,776,6.1665,1,,525,2.1
DCBxC0F0fBY,Part 84 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel  @AIBIBLEGOSPELS,"May 30, 2025",56,0:00:30,53.94,333,42.13,,,,,,,,,,,,,,,,,,,,776,2.968,0,,662,2.27
es3QtBndsRo,"What the 144,000 Actually Means: Full Breakdown #spiritualtruth #revelation","May 30, 2025",58,0:00:37,63.89,332,55.35,,,,,,,,,,,,,,,,,,,,680,3.5372,2,,510,3.33
TmTLdel9HhM,Part 75 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 21, 2025",53,0:01:00,113.29,327,52.41,,,,,,,,,,,,,,,,,,,,737,5.58,4,,524,1.72
xL8v7eZ9mwc,The Prophecy Revealed AUDIO BOOK @AIBIBLEGOSPELS,"Jul 27, 2025",4426,0:07:26,10.09,326,,,,,,,,,,,,,,,,,,,,,326,40.425,1,,12227,1.85
qUNz7fKwtMo,What Happened to Black Nobility? @AIBIBLEGOSPELS,"Sep 13, 2025",184,0:01:10,38.56,325,,,,,,,,,,,,,,,,,,,,,325,6.406,-1,,7123,3.68
DIvHY0Ic1Ac,The Complete Biblical Timeline Brought to Life With AI! @AIBIBLEGOSPELS,"Dec 27, 2024",347,0:02:26,42.27,322,,,,,,,,,,,,,,,,,,,,,322,13.1209,2,,3279,5.61
zZ2JGBR8kdI,The Only True High Holy Days Of The Bible @AIBIBLEGOSPELS,"Jun 3, 2025",237,0:01:29,37.59,322,,,,,,,,,,,,,,,,,,,,,322,7.9685,1,,6520,3.65
ly6H3WEF9GE,Matthew Chapter 3: Baptism @AIBIBLEGOSPELS,"Jan 19, 2025",163,0:01:38,60.17,321,,,,,,,,,,,,,,,,,,,,,321,8.7448,3,,2333,3.77
xb8pPrCgFo4,The Wise Man’s Secret to Building a Life That Withstands Any Storm! @AIBIBLEGOSPELS,"Aug 1, 2025",38,0:00:26,69.7,321,37.42,,,,,,,,,,,,,,,,,,,,849,2.5785,3,,574,2.26
ATRC-1-MzcY,The Centurion’s Unbelievable Faith That Amazed Jesus Himself! @AIBIBLEGOSPELS,"Aug 4, 2025",55,0:00:56,103.53,320,49.23,,,,,,,,,,,,,,,,,,,,798,5.1829,4,,374,2.41
KVbj6CvMX5c,Secrets Behind the King James Bible! @AIBIBLEGOSPELS,"Aug 31, 2025",802,0:02:34,19.28,317,,,,,,,,,,,,,,,,,,,,,317,13.6143,3,,6355,3.49
bE_dzZEE4uI,"Why Saying 'Lord, Lord' Isn’t Enough to Enter the Kingdom @AIBIBLEGOSPELS","Jul 30, 2025",28,0:00:27,99.06,314,29.26,,,,,,,,,,,,,,,,,,,,1117,2.707,3,,341,2.35
wei2jbfJMkk,Discover How Christ’s Word Cuts Through @AIBIBLEGOSPELS,"Jul 14, 2025",40,0:00:31,79.39,313,24.36,,,,,,,,,,,,,,,,,,,,1253,3.0921,0,,338,1.78
W0_WDcr0TFI,Ancient Black Hebrew Israelites Journey Through Sacred Wisdom! @AIBIBLEGOSPELS,"Mar 16, 2025",124,0:01:13,59.35,305,,,,,,,,,,,,,,,,,,,,,305,6.2345,1,,5784,2.7
KGVZHGopiQ0,Biblical Warnings That Came True Throughout History REVEALED Deuteronomy 28:15-68 @AIBIBLEGOSPELS,"Mar 9, 2025",768,0:05:43,44.71,292,,,,,,,,,,,,,,,,,,,,,292,27.8518,4,,3622,3.67
uGkJtkdElcg,The Truth About King James and the Bible Revealed @AIBIBLEGOSPELS,"Sep 11, 2025",343,0:01:19,23.21,292,,,,,,,,,,,,,,,,,,,,,292,6.4585,1,,5961,4.16
dwd69b2G-gU,The Hidden Truth About Biblical Identity That Will SHOCK You! @AIBIBLEGOSPELS,"Feb 20, 2025",53,0:01:07,126.51,269,77.74,,,,,,,,,,,,,,,,,,,,339,5.0184,1,,1552,4.9
ocXSvMnJaLE,"The Lost Tribes of Israel Biblical Prophecy ""Deuteronomy"" 28:15-68 @AIBIBLEGOSPELS","Mar 8, 2025",688,0:04:40,40.75,263,,,,,,,,,,,,,,,,,,,,,263,20.4821,1,,3140,3.73
BmURiZOQnKA,Jesus Taught with Authority  The Bold Doctrine @AIBIBLEGOSPELS,"Jul 10, 2025",58,0:01:06,114.33,259,48.53,,,,,,,,,,,,,,,,,,,,610,4.8623,2,,298,3.02
onnUvy4ryAA,The Most High’s Chosen People (Part II) – Scattered Tribes Awaken @AIBIBLEGOSPELS,"Jul 4, 2025",356,0:01:52,31.61,249,,,,,,,,,,,,,,,,,,,,,249,7.7842,0,,4448,4.54
gAgEL09nLRU,The Most High’s Chosen People (Part III) – Covenant Restored @AIBIBLEGOSPELS,"Jul 6, 2025",311,0:01:43,33.37,234,,,,,,,,,,,,,,,,,,,,,234,6.7454,1,,4800,3.96
Fczcu80IHj8,The Secret History of Black Royalty and Faith! @AIBIBLEGOSPELS,"Sep 10, 2025",155,0:00:49,32.18,227,,,,,,,,,,,,,,,,,,,,,227,3.1455,4,,4196,4.84
c9Lf2SBFjho,Matthew Chapter 1: The Genealogy @AIBIBLEGOSPELS,"Jan 4, 2025",234,0:02:20,60.02,227,,,,,,,,,,,,,,,,,,,,,227,8.8566,6,,1979,5.61
ggAF28BvCqY,The Most High Chosen People How special and Holy they are @AIBIBLEGOSPELS,"Jan 21, 2025",33,0:00:28,85.47,221,,,,,,,,,,,,,,,,,,,,,221,1.7303,2,,3597,3.28
hJZ3g3ThGik,Part 30: The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 3, 2025",52,0:01:33,179.73,221,72.2,,,,,,,,,,,,,,,,,,,,487,5.7675,3,,1400,2.07
quH9W0PDfKc,Jesus Calls His First Disciples After Conquering Temptation @AIBIBLEGOSPELS,"Jan 25, 2025",198,0:01:33,47.26,220,,,,,,,,,,,,,,,,,,,,,220,5.7185,3,,4314,2.8
9L5mYYDAF1o,Did King James Really Change Britain Forever? @AIBIBLEGOSPELS,"Sep 2, 2025",204,0:00:58,28.88,220,,,,,,,,,,,,,,,,,,,,,220,3.6,1,,4978,3.46
EVXPdM8tGcQ,Part 27: The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 3, 2025",59,0:01:20,136.8,212,70.88,,,,,,,,,,,,,,,,,,,,436,4.785,0,,1297,1.16
TxO-08eVvVw,Book of Matthew 6 #godsays #motivation #quotes #godscommand,"Mar 8, 2026",29,0:00:18,65.41,189,24.74,,,,,,,,,,,,,,,,,,,,740,1.2174,33,,23,0
TAGtH0QoXEQ,10 Biblical Prophecies You Never Heard About,"Jun 26, 2025",270,0:01:26,32,189,,,,,,,,,,,,,,,,,,,,,189,4.5356,0,,4529,3.31
0JMTqU5DhZQ,Why The World Was Made For The Children of Israel @AIBIBLEGOSPELS,"Jul 16, 2025",37,0:00:25,68.96,178,22.52,,,,,,,,,,,,,,,,,,,,727,1.4391,1,,925,3.78
vnKtQxSED6E,The Bible's Real Faces Revealed! @AIBIBLEGOSPELS,"Sep 8, 2025",56,0:00:41,74.04,175,38.93,,,,,,,,,,,,,,,,,,,,480,2.1101,4,,433,1.39
BRulDl0oKVM,The Hidden Message Our Elders Left Behind REVEALED @AIBIBLEGOSPELS,"Mar 11, 2025",71,0:00:49,69.62,170,,,,,,,,,,,,,,,,,,,,,170,2.3341,0,,3094,2.71
EvETIWMgMA4,Sleep With PSALMS | Power Scriptures for the Soul KJV Bible Audio @AIBIBLEGOSPELS,"Jun 5, 2025",7200,0:23:59,19.99,164,,,,,,,,,,,,,,,,,,,,,164,65.5635,2,,4548,2.9
V1X-iqGgYls,"Journey with us, The Most High Chosen People! @AIBIBLEGOSPELS","Mar 1, 2025",27,0:00:22,86.23,163,,,,,,,,,,,,,,,,,,,,,163,1.0152,1,,2462,2.72
g713EId0x3U,Part 46 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 18, 2025",58,0:01:54,197.11,159,77.05,,,,,,,,,,,,,,,,,,,,331,5.0646,1,,1309,3.82
cXlSgRzultU,Scripture Reveals Your True Tribe #israelite #identity #bibleprophecy,"Feb 28, 2026",19,0:00:14,77.39,159,20.95,,,,,,,,,,,,,,,,,,,,760,0.8697,2,,73,0
izvPfu1UjkM,The KJV 1611 Truth Nobody's Talking About,"Sep 12, 2025",289,0:01:21,28.08,159,,,,,,,,,,,,,,,,,,,,,159,3.5843,1,,3864,3.42
sN_UHGSkArg,Why These 12 Tribes Changed The World FOREVER @AIBIBLEGOSPELS,"Feb 18, 2025",58,0:01:07,115.9,153,60.96,,,,,,,,,,,,,,,,,,,,226,2.8699,0,,1079,2.97
WHElP5K1Wxo,Matthew Chapter 5: The Beatitudes @AIBIBLEGOSPELS,"Aug 3, 2025",370,0:01:37,26.33,150,,,,,,,,,,,,,,,,,,,,,150,4.0585,1,,3870,2.35
3ase0yJE_Xs,The 12 Tribes of Israel The Most High Holy People @AIBIBLEGOSPELS,"Feb 20, 2025",59,0:01:06,115.02,150,63.39,,,,,,,,,,,,,,,,,,,,219,2.7977,2,,952,1.89
x-Dyek2bN98,King James United Three Kingdoms The Untold @AIBIBLEGOSPELS,"Sep 2, 2025",69,0:00:43,62.34,146,36.59,,,,,,,,,,,,,,,,,,,,393,1.8311,1,,449,1.78
FxBcgMI3Rcc,The 12 Tribes Prophecy | What the KJV Bible Actually Says #gospel #truth #history,"Feb 28, 2026",29,0:00:38,132.13,145,28.16,,,,,,,,,,,,,,,,,,,,547,1.6863,6,,175,2.29
LFad8UPQOew,Top 10 Evil Kings of Israel – Wickedness Exposed! @AIBIBLEGOSPELS,"Jun 10, 2025",236,0:01:28,37.55,145,,,,,,,,,,,,,,,,,,,,,145,3.5691,0,,3101,3.45
puRpiE4KtXQ,"Deuteronomy 7:6-7 – ""For thou art an holy people unto the LORD thy God @AIBIBLEGOSPELS","Mar 3, 2025",45,0:00:35,78.14,145,,,,,,,,,,,,,,,,,,,,,145,1.4163,1,,3576,1.79
qyh745BNjw0,Top Ten Curses of Deuteronomy 28 @AIBIBLEGOSPELS,"Jun 28, 2025",208,0:01:26,41.7,143,,,,,,,,,,,,,,,,,,,,,143,3.445,3,,4200,2.67
PEoPYP_Bc7Q,"Matthew Chapter 2: The Journey of Faith, Prophecy, and Divine Intervention @AIBIBLEGOSPELS","Jan 21, 2025",231,0:02:31,65.52,143,,,,,,,,,,,,,,,,,,,,,143,6.0116,0,,3428,1.93
IqcXS2Xd290,Matthew 13  #motivation #godsays #quotes #godscommand,"Mar 9, 2026",58,0:00:46,80.1,137,48.07,,,,,,,,,,,,,,,,,,,,341,1.8342,3,,74,1.35
2oP2-iyMf20,Part 7:  The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Mar 26, 2025",64,0:01:09,108.24,134,57.76,,,,,,,,,,,,,,,,,,,,227,2.5938,0,,995,0.9
ZnCssbJ2ndw,The REAL Truth About the 12 Tribes of Israel #jesus #scripture #enddays #gospel,"Feb 28, 2026",41,0:01:01,149.57,123,36.89,,,,,,,,,,,,,,,,,,,,371,2.1686,2,,157,4.46
XOAgFc78mJQ,How God Blessed Israel With Everything They Needed #Gospel #Faith,"Feb 28, 2026",35,0:00:19,55.74,121,16.16,,,,,,,,,,,,,,,,,,,,699,0.8604,4,,390,1.03
oKEFVFc7fe8,Most Powerful Psalms For Protection Scriptures @AIBIBLEGOSPELS,"Jul 14, 2025",7587,0:23:44,18.78,109,,,,,,,,,,,,,,,,,,,,,109,43.1342,2,,2086,3.45
Ox_dozHLaaM,The Hidden Truth About Biblical Identity That Will SHOCK You! @AIBIBLEGOSPELS,"Feb 20, 2025",53,0:00:41,78.46,104,,,,,,,,,,,,,,,,,,,,,104,1.2013,0,,1339,2.24
2e_pe-3GpBI,The SHOCKING Reality of How Nations Fall From Within @AIBIBLEGOSPELS,"Mar 22, 2025",52,0:00:37,71.19,100,,,,,,,,,,,,,,,,,,,,,100,1.0283,0,,3078,2.08
YRi0JZn2_lM,Top Ten Greatest Women in the Bible @AIBIBLEGOSPELS,"Jun 5, 2025",237,0:01:55,48.53,99,,,,,,,,,,,,,,,,,,,,,99,3.1632,1,,2262,2.83
Mo1wDJhH3d8,Part 63 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 3, 2025",55,0:01:03,116.06,99,75.21,,,,,,,,,,,,,,,,,,,,211,1.7682,1,,713,4.63
p0xBHbtk7CI,Powerful Biblical Knowledge That Nobody Talks About #blackhistory @AIBIBLEGOSPELS,"Feb 24, 2025",55,0:00:45,82.96,98,,,,,,,,,,,,,,,,,,,,,98,1.2421,0,,1424,1.62
uCGVZVqgZTw,The Prayer Every Parent Should Know #parenting #hebrew #faith,"Feb 28, 2026",40,0:00:23,59.28,98,31.01,,,,,,,,,,,,,,,,,,,,326,0.736,1,,74,1.35
MbDzov2sT6c,Matthew 6  #motivation #quotes #duet #motivational #success,"Mar 7, 2026",34,0:00:20,60.9,98,24.75,,,,,,,,,,,,,,,,,,,,383,0.6758,5,,56,3.57
w8fXqQPM26o,Part 59 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 29, 2025",60,0:01:20,134.62,97,79.63,,,,,,,,,,,,,,,,,,,,192,2.185,1,,916,3.06
7PkG1upR3lM,They Hid What James Said About the Papacy #BibleProphecy #12Tribes #TruthRevealed,"Sep 16, 2025",61,0:00:42,69.3,96,39.53,,,,,,,,,,,,,,,,,,,,227,1.1729,1,,719,3.06
2mruvqERKQs,What Makes the King James Bible So Special? @AIBIBLEGOSPELS,"Sep 4, 2025",65,0:00:37,56.95,93,26.88,,,,,,,,,,,,,,,,,,,,328,1.042,0,,476,4.2
TK82X4dOE7w,Part 60 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 30, 2025",54,0:01:11,133.24,89,71.3,,,,,,,,,,,,,,,,,,,,208,1.7935,0,,941,2.44
SlVWjV3Gf2I,The 1747 Map of Africa – What They Don’t Want You to See @AIBIBLEGOSPELS,"Jun 29, 2025",66,0:00:42,64.63,88,,,,,,,,,,,,,,,,,,,,,88,1.0427,0,,1077,5.39
i8WDWCNarRE,This is Why Fathers Tell Their Sons About the Exodus #legacy #faith #gospel,"Feb 28, 2026",38,0:00:28,76.3,87,33.72,,,,,,,,,,,,,,,,,,,,264,0.7677,2,,66,0
YZOq2NBT3d8,Part 51 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 26, 2025",60,0:01:54,190.68,86,70.87,,,,,,,,,,,,,,,,,,,,185,2.7447,0,,864,1.97
eVm9_23Ngkk,Jesus' Mission Was Family Focused  @AIBIBLEGOSPELS,"Jul 11, 2025",69,0:00:48,70.62,85,41.92,,,,,,,,,,,,,,,,,,,,218,1.1868,2,,275,2.18
QMIYjjqLa6c,Hidden History of a Black European King! @AIBIBLEGOSPELS,"Sep 6, 2025",61,0:00:48,79.82,85,21.33,,,,,,,,,,,,,,,,,,,,361,1.2254,1,,668,4.19
U9Odey7BrxE,Part 54 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 28, 2025",62,0:01:04,103.38,85,72.64,,,,,,,,,,,,,,,,,,,,170,1.5236,0,,899,1.45
9U2SAur93KE,God's commandments will change your life forever #bible #jesus #transformation,"Feb 28, 2026",41,0:00:21,53.09,85,15.43,,,,,,,,,,,,,,,,,,,,506,0.6499,0,,45,2.22
YPtaazQh9lg,Jesus Gave This Warning in Matthew 6 You Need to Hear #EndTimes #Scripture,"Mar 7, 2026",11,0:00:10,92.57,83,11.34,,,,,,,,,,,,,,,,,,,,691,0.4356,12,,52,0
Ef_0BOSXpIA,Israel  A Chosen Generation and Royal Priest @AIBIBLEGOSPELS,"Jul 24, 2025",66,0:00:30,45.45,81,15.89,,,,,,,,,,,,,,,,,,,,449,0.7897,0,,616,2.76
V-VSf1C2aTw,Matthew 7  #motivation #quotes #duet,"Mar 8, 2026",38,0:00:47,126.25,80,27.78,,,,,,,,,,,,,,,,,,,,291,1.1433,2,,26,3.85
xDlYp2yQIx8,"The Prayer of Manasses, King of Judah (Powerful Repentance Prayer | Apocrypha) @AIBIBLEGOSPELS","Feb 7, 2026",251,0:01:28,35.1,80,,,,,,,,,,,,,,,,,,,,,80,1.9578,1,,1427,4.13
zyS-Q2F_Hps,Who Are the 12 Tribes of Israel? | Ancient Truths Uncovered @AIBIBLEGOSPELS,"Jul 17, 2025",41,0:00:27,67.61,80,27.05,,,,,,,,,,,,,,,,,,,,279,0.686,0,,566,4.42
msD6dQm9W6A,Top Ten Greatest Kings Israel @AIBIBLEGOSPELS,"Jun 12, 2025",212,0:01:42,48.58,80,,,,,,,,,,,,,,,,,,,,,80,2.2886,-1,,2240,2.77
0nM51QdNWLU,Part 50 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 24, 2025",65,0:01:05,100.07,79,71.28,,,,,,,,,,,,,,,,,,,,148,1.4414,1,,684,2.78
N9TfaMJAIik,"Don't Give for Glory, Give for God #SpiritualTruth #Faith","Mar 7, 2026",38,0:00:20,54.25,77,9.91,,,,,,,,,,,,,,,,,,,,665,0.6356,4,,30,0
8oQbY2_2wnY,Top Ten Evil Women In The Bible @AIBIBLEGOSPELS,"Jun 17, 2025",202,0:01:28,44.02,73,,,,,,,,,,,,,,,,,,,,,73,1.8031,0,,1238,3.88
4-lwx45nL1A,Part 65 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 6, 2025",56,0:01:05,116.37,71,76.14,,,,,,,,,,,,,,,,,,,,149,1.2916,1,,724,2.21
a11hrG9FSpI,The True Mission & Doctrine of Christ @AIBIBLEGOSPELS,"Jul 13, 2025",527,0:02:26,27.78,71,,,,,,,,,,,,,,,,,,,,,71,2.8873,0,,2640,1.63
QTsCcJxRhsc,Part 52 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 26, 2025",60,0:01:13,121.75,71,72.41,,,,,,,,,,,,,,,,,,,,145,1.4501,1,,722,1.11
8RmiO6jT-Co,Matthew 7  #motivation #godsays #quotes #godscommand,"Mar 8, 2026",36,0:00:22,63.39,69,30.26,,,,,,,,,,,,,,,,,,,,239,0.4972,7,,14,0
FfnfxlX1hmU,Matthew 8 #motivation #godsays #quotes #godscommand,"Mar 9, 2026",37,0:00:44,121.19,68,26.42,,,,,,,,,,,,,,,,,,,,275,0.9081,4,,42,4.76
5clbXshp6Ic,The Hidden Reason Israel's 12 Tribes Hold Divine Power #KingdomRevealed #Prophecy,"Jul 26, 2025",55,0:00:39,71.11,68,22.22,,,,,,,,,,,,,,,,,,,,256,0.8029,0,,715,3.78
CuNKO1aBdRM,Part 67 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"May 9, 2025",60,0:00:56,93.71,67,79.22,,,,,,,,,,,,,,,,,,,,123,1.0527,2,,789,3.68
4U2jkTkYYpA,Real Prayer Happens Behind Closed Doors Matthew 6 #KJVBible #SpiritualTruth #Gospel,"Mar 7, 2026",27,0:00:16,61.81,67,27.35,,,,,,,,,,,,,,,,,,,,251,0.3782,2,,28,0
2BqkIPKqj_8,Top 12 Apostles of Jesus Christ @AIBIBLEGOSPELS,"Jun 25, 2025",204,0:01:10,34.41,66,,,,,,,,,,,,,,,,,,,,,66,1.2868,0,,1972,2.13
6lbjD5o_ulk,This 12 Tribes Prophecy Changes Everything #shorts #prophecy,"May 15, 2025",53,0:01:01,115.18,65,66.3,,,,,,,,,,,,,,,,,,,,133,1.1155,1,,513,3.12
NLjHNAFh2Ho,Fear Only the Lord—All Other Powers Are Powerless #jesus #godmessage #shorts,"Feb 28, 2026",22,0:00:14,65.8,62,13.1,,,,,,,,,,,,,,,,,,,,442,0.3781,3,,47,4.26
sbv8oJWTgHk,Part 52 : The Prophecy revealed: Full Breakdown of the 12 Tribes of Israel @AIBIBLEGOSPELS,"Apr 25, 2025",61,0:00:53,87.33,62,65.06,,,,,,,,,,,,,,,,,,,,118,0.9316,0,,575,1.91
MUOhSe9WJ-I,Top 10 Fossils and the Bible @AIBIBLEGOSPELS,"Jun 24, 2025",227,0:01:13,32.47,61,,,,,,,,,,,,,,,,,,,,,61,1.2489,0,,2879,1.46
m2yANlfK0Io,Most Follow the Wide Gate Without Realizing It #warning #scripture,"Aug 2, 2025",20,0:00:39,197.89,61,19.43,,,,,,,,,,,,,,,,,,,,325,0.7551,0,,334,1.2
EFGQB8h8hAo,The Powerful Message of Matthew 6 for These Last Days #KingdomWealth #KJVBible,"Mar 7, 2026",29,0:00:21,75.45,59,18.21,,,,,,,,,,,,,,,,,,,,324,0.4455,12,,35,0
jky3Ju8SM3Y,Matthew 13  #motivation #godsays #quotes #love #hebrew,"Mar 10, 2026",65,0:00:37,57.46,54,24.66,,,,,,,,,,,,,,,,,,,,220,0.6153,0,,75,0
L3TmNiJJ4ZM,Top 10 Psalms of David That Will Inspire You Today,"Jun 19, 2025",310,0:01:42,33.09,50,,,,,,,,,,,,,,,,,,,,,50,1.4248,1,,1120,2.5
UVRG401MP0M,The Prayer of Azariah (Powerful Prayer in the Fiery Furnace | Apocrypha) @AIBIBLEGOSPELS,"Feb 14, 2026",639,0:03:13,30.21,49,,,,,,,,,,,,,,,,,,,,,49,2.6272,0,,762,3.41
09RCHU1MW9Q,Your Heavenly Father Gives Better Gifts Than You Imagine #BiblePromise #Faith #Abundance,"Jul 31, 2025",52,0:00:44,84.97,48,14.56,,,,,,,,,,,,,,,,,,,,311,0.6728,0,,316,1.58
